year,month,day,site,animal_id,sl,age,mark
2016,10,19,NB,NB_2.104,89,1,0
2016,10,19,NB,NB_2.105,77,1,0
2016,10,19,NB,NB_2.106,71,1,1
2016,10,19,NB,NB_2.107,76,1,0
2016,10,19,NB,NB_2.108,62,1,0
2016,10,19,NB,NB_2.109,74,1,0
2016,10,19,NB,NB_2.110,94,1,1
2016,10,19,NB,NB_2.111,117,1,0
2016,10,19,NB,NB_2.112,115,1,0
2016,10,19,NB,NB_2.113,122,1,0
2016,10,19,NB,NB_2.114,113,1,0
2016,10,19,NB,NB_2.115,146,2,0
2016,10,19,NB,NB_2.116,121,1,0
2016,10,19,NB,NB_2.117,122,1,0
2016,10,19,NB,NB_2.118,116,1,0
2016,10,19,NB,NB_2.119,98,1,0
2016,10,19,NB,NB_2.120,143,1,0
2016,10,19,NB,NB_2.121,83,1,0
2016,10,19,NB,NB_2.122,81,1,0
2016,10,19,NB,NB_2.123,90,1,1
2016,10,19,NB,NB_2.124,66,1,0
2016,10,19,NB,NB_2.125,75,1,0
2016,10,19,NB,NB_2.126,78,1,0
2016,10,19,NB,NB_2.127,73,1,1
2016,10,19,NB,NB_2.128,78,1,0
2016,10,19,NB,NB_2.129,73,1,0
2016,10,19,NB,NB_2.130,90,1,0
2016,10,19,NB,NB_2.131,50,1,0
2016,10,19,NB,NB_2.132,89,1,0
2016,10,19,NB,NB_2.133,70,1,0
2016,10,19,NB,NB_2.134,101,1,0
2016,10,19,NB,NB_2.135,98,1,0
2016,10,19,NB,NB_2.136,81,1,0
2016,10,19,NB,NB_2.137,83,1,0
2016,10,19,NB,NB_2.138,86,1,0
2016,10,19,NB,NB_2.139,89,1,1
2016,10,19,NB,NB_2.140,122,1,0
2016,10,19,NB,NB_2.141,114,1,0
2016,10,19,NB,NB_2.142,155,2,0
2016,10,19,NB,NB_2.143,145,2,0
2016,10,19,NB,NB_2.144,121,1,0
2016,10,19,NB,NB_2.145,152,2,0
2016,10,19,NB,NB_2.146,129,1,0
2016,10,19,NB,NB_2.147,116,1,0
2016,10,19,NB,NB_2.148,128,1,0
2016,10,19,NB,NB_2.149,112,1,0
2016,10,19,NB,NB_2.150,117,1,0
2016,10,19,NB,NB_2.151,70,1,0
2016,10,19,NB,NB_2.152,94,1,0
2016,10,19,NB,NB_2.153,74,1,0
2016,10,19,NB,NB_2.154,112,1,0
2016,10,19,NB,NB_2.155,99,1,0
2016,10,19,NB,NB_2.156,87,1,1
2016,10,19,NB,NB_2.157,80,1,0
2016,10,19,NB,NB_2.158,79,1,0
2016,10,19,NB,NB_2.159,121,1,0
2016,10,19,NB,NB_2.160,82,1,0
2016,10,19,NB,NB_2.161,102,1,0
2016,10,19,NB,NB_2.162,115,1,0
2016,10,19,NB,NB_2.163,87,1,0
2016,10,19,NB,NB_2.164,108,1,0
2016,10,19,NB,NB_2.165,107,1,0
2016,10,19,NB,NB_2.166,108,1,0
2016,10,19,NB,NB_2.167,71,1,0
2016,10,19,NB,NB_2.168,132,1,0
2016,10,19,NB,NB_2.169,103,1,0
2016,10,19,NB,NB_2.170,108,1,0
2016,10,19,NB,NB_2.171,116,1,0
2016,10,19,NB,NB_2.172,107,1,0
2016,10,19,NB,NB_2.173,120,1,0
2016,10,19,NB,NB_2.174,85,1,0
2016,10,19,NB,NB_2.175,103,1,1
2016,10,19,NB,NB_2.176,130,1,0
2016,10,19,NB,NB_2.177,115,1,0
2016,10,19,NB,NB_2.178,122,1,0
2016,10,19,NB,NB_2.179,79,1,0
2016,10,19,NB,NB_2.180,92,1,0
2016,10,19,NB,NB_2.181,82,1,0
2016,10,19,NB,NB_2.182,103,1,0
2016,10,19,NB,NB_2.183,98,1,0
2016,10,19,NB,NB_2.184,91,1,0
2016,10,19,NB,NB_2.185,107,1,0
2016,10,19,NB,NB_2.186,102,1,1
2016,10,19,NB,NB_2.187,104,1,0
2016,10,19,NB,NB_2.188,75,1,0
2016,10,19,NB,NB_2.189,72,1,0
2016,10,19,NB,NB_2.190,101,1,0
2016,10,19,NB,NB_2.191,106,1,0
2016,10,19,NB,NB_2.192,76,1,0
2016,10,19,NB,NB_2.193,104,1,0
2016,10,19,NB,NB_2.194,103,1,0
2016,10,19,NB,NB_2.195,87,1,0
2016,10,19,NB,NB_2.196,90,1,0
2016,10,19,NB,NB_2.197,116,1,0
2016,10,19,NB,NB_2.198,96,1,1
2016,10,19,NB,NB_2.199,100,1,0
2016,10,19,NB,NB_2.200,97,1,0
2016,10,19,NB,NB_2.201,86,1,0
2016,10,19,NB,NB_2.202,70,1,0
2016,10,19,NB,NB_2.203,104,1,0
2016,10,19,NB,NB_2.204,81,1,0
2016,10,19,NB,NB_2.205,74,1,0
2016,10,19,NB,NB_2.206,83,1,0
2016,10,19,NB,NB_2.207,96,1,0
2016,10,19,NB,NB_2.208,52,1,0
2016,10,19,NB,NB_2.209,80,1,1
2016,10,19,NB,NB_2.210,87,1,0
2016,10,19,NB,NB_2.211,72,1,0
2016,10,19,NB,NB_2.212,93,1,0
2016,10,19,NB,NB_2.213,75,1,0
2016,10,19,NB,NB_2.214,70,1,0
2016,10,19,NB,NB_2.215,74,1,0
2016,10,19,NB,NB_2.216,88,1,1
2016,10,19,NB,NB_2.217,90,1,0
2016,10,19,NB,NB_2.218,69,1,0
2016,10,19,NB,NB_2.219,78,1,0
2016,10,19,NB,NB_2.220,70,1,0
2016,10,19,NB,NB_2.221,69,1,0
2016,10,19,NB,NB_2.222,54,1,0
2016,10,19,NB,NB_2.223,91,1,0
2016,10,19,NB,NB_2.224,81,1,0
2016,10,19,NB,NB_2.225,72,1,1
2016,10,19,NB,NB_2.226,92,1,1
2016,10,19,NB,NB_2.227,93,1,1
2016,10,19,NB,NB_2.228,85,1,0
2016,10,19,NB,NB_2.229,82,1,0
2016,10,19,NB,NB_2.230,43,1,0
2016,10,19,NB,NB_2.231,42,1,0
2016,10,19,NB,NB_2.232,69,1,0
2016,10,19,NB,NB_2.233,96,1,0
2016,10,19,NB,NB_2.234,81,1,0
2016,10,19,NB,NB_2.235,74,1,0
2016,10,19,NB,NB_2.236,72,1,0
2016,10,19,NB,NB_2.237,74,1,0
2016,10,19,NB,NB_2.238,73,1,0
2016,10,19,NB,NB_2.239,77,1,0
2016,10,19,NB,NB_2.240,73,1,0
2016,10,19,NB,NB_2.241,67,1,0
2016,10,19,NB,NB_2.242,84,1,0
2016,10,19,NB,NB_2.243,72,1,0
2016,10,19,NB,NB_2.244,79,1,0
2016,10,19,NB,NB_2.245,77,1,0
2016,10,19,NB,NB_2.246,74,1,0
2016,10,19,NB,NB_2.247,83,1,0
2016,10,19,NB,NB_2.248,72,1,0
2016,10,19,NB,NB_2.249,95,1,0
2016,10,19,NB,NB_2.250,46,1,0
2016,10,19,NB,NB_2.251,78,1,1
2016,10,19,NB,NB_2.252,93,1,0
2016,10,19,NB,NB_2.253,89,1,0
2016,10,19,NB,NB_2.254,91,1,0
2016,10,19,NB,NB_2.255,109,1,0
2016,10,19,NB,NB_2.256,96,1,0
2016,10,19,NB,NB_2.257,88,1,0
2016,10,19,NB,NB_2.258,105,1,0
2016,10,19,NB,NB_2.259,75,1,0
2016,10,19,NB,NB_2.260,131,1,0
2016,10,19,NB,NB_2.261,130,1,0
2016,10,19,NB,NB_2.262,127,1,0
2016,10,19,NB,NB_2.263,118,1,0
2016,10,19,NB,NB_2.264,137,1,0
2016,10,19,NB,NB_2.265,118,1,0
2016,10,19,NB,NB_2.266,122,1,0
2016,10,19,NB,NB_2.267,151,1,0
2016,10,19,NB,NB_2.268,145,2,0
2016,10,19,NB,NB_2.269,141,2,0
2016,10,19,NB,NB_2.270,117,1,0
2016,10,19,NB,NB_2.271,124,1,0
2016,10,19,NB,NB_2.272,110,1,0
2016,10,19,NB,NB_2.273,112,1,0
2016,10,19,NB,NB_2.274,135,1,0
2016,10,19,NB,NB_2.275,130,1,0
2016,10,19,NB,NB_2.276,106,1,0
2016,10,19,NB,NB_2.277,117,1,0
2016,10,19,NB,NB_2.278,102,1,0
2016,10,19,NB,NB_2.279,136,1,0
2016,10,19,NB,NB_2.280,77,1,0
2016,10,19,NB,NB_2.281,79,1,0
2016,10,19,NB,NB_2.282,42,1,0
2016,10,19,NB,NB_2.283,41,1,0
2016,10,19,NB,NB_2.284,91,1,0
2016,10,19,NB,NB_2.285,87,1,0
2016,10,19,NB,NB_2.286,78,1,1
